locus_tag,KG_FM,KG_FG,KG_PC,KG_PG,KG_PW
b1483,Transporters,signaling and cellular processes,Cellular Processes,Cellular community - prokaryotes,Quorum sensing
b1484,Transporters,signaling and cellular processes,Cellular Processes,Cellular community - prokaryotes,Quorum sensing
b1485,Transporters,signaling and cellular processes,Cellular Processes,Cellular community - prokaryotes,Quorum sensing
b1486,Transporters,signaling and cellular processes,Cellular Processes,Cellular community - prokaryotes,Quorum sensing
b1487,Transporters,signaling and cellular processes,Cellular Processes,Cellular community - prokaryotes,Quorum sensing
b1488,Peptidases and inhibitors; Peptidoglycan biosynthesis and degradation proteins; Antimicrobial resistance genes,metabolism; signaling and cellular processes,Environmental Information Processing; Human Diseases,Signal transduction; Drug resistance: antimicrobial,Two-component system; Vancomycin resistance
b1492,Transporters,signaling and cellular processes,Cellular Processes,Cellular community - prokaryotes,Quorum sensing
b1493,,,Metabolism; Cellular Processes,Carbohydrate metabolism; Amino acid metabolism; Metabolism of other amino acids; Cellular community - prokaryotes,"Butanoate metabolism; Alanine, aspartate and glutamate metabolism; beta-Alanine metabolism; Taurine and hypotaurine metabolism; Quorum sensing"
b1494,Peptidases and inhibitors,metabolism,,,
b1496,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b1500,,,Environmental Information Processing,Signal transduction,Two-component system
b1503,Secretion system; Bacterial motility proteins,signaling and cellular processes,,,
b1507,Protein kinases; Prokaryotic defense system,metabolism; signaling and cellular processes,,,
b1508,Transcription factors; Prokaryotic defense system,genetic information processing; signaling and cellular processes,,,
b1511,,,Cellular Processes,Cellular community - prokaryotes,Quorum sensing
b1512,Transcription factors,genetic information processing,Cellular Processes,Cellular community - prokaryotes,Quorum sensing; Biofilm formation - Escherichia coli
b1513,Transporters,signaling and cellular processes,Environmental Information Processing; Cellular Processes,Membrane transport; Cellular community - prokaryotes,ABC transporters; Quorum sensing
b1514,Transporters,signaling and cellular processes,Environmental Information Processing; Cellular Processes,Membrane transport; Cellular community - prokaryotes,ABC transporters; Quorum sensing
b1515,Transporters,signaling and cellular processes,Environmental Information Processing; Cellular Processes,Membrane transport; Cellular community - prokaryotes,ABC transporters; Quorum sensing
b1516,Transporters,signaling and cellular processes,Environmental Information Processing; Cellular Processes,Membrane transport; Cellular community - prokaryotes,ABC transporters; Quorum sensing
b1517,,,Cellular Processes,Cellular community - prokaryotes,Quorum sensing
b1518,,,Cellular Processes,Cellular community - prokaryotes,Quorum sensing
b1520,Transporters,signaling and cellular processes,,,
b1521,,,Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions
b1524,,,Metabolism; Environmental Information Processing,Amino acid metabolism; Metabolism of other amino acids; Signal transduction,"Alanine, aspartate and glutamate metabolism; Arginine biosynthesis; D-Amino acid metabolism; Two-component system"
b1525,,,Metabolism,Carbohydrate metabolism; Amino acid metabolism; Metabolism of cofactors and vitamins,"Butanoate metabolism; Alanine, aspartate and glutamate metabolism; Nicotinate and nicotinamide metabolism"
b1528,Transporters,signaling and cellular processes,,,
b1529,Transporters,signaling and cellular processes,,,
b1530,Transcription factors,genetic information processing,,,
b1531,Transcription factors; Antimicrobial resistance genes,genetic information processing; signaling and cellular processes,Human Diseases,Drug resistance: antimicrobial,Cationic antimicrobial peptide (CAMP) resistance
b1533,Transporters,signaling and cellular processes,,,
b1538,Peptidases and inhibitors,metabolism,,,
b1539,,,Metabolism,Nucleotide metabolism; Amino acid metabolism,"Pyrimidine metabolism; Glycine, serine and threonine metabolism"
b1540,Transcription factors,genetic information processing,,,
b1542,,,Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions
b1543,Transporters,signaling and cellular processes,,,
b1546,Viral proteins,Viral protein families,Genetic Information Processing,Information processing in viruses,Virion - Bacteriophage lambda
b1548,Viral proteins,Viral protein families,Genetic Information Processing,Information processing in viruses,Virion - Bacteriophage lambda
b1562,Prokaryotic defense system,signaling and cellular processes,,,
b1563,Prokaryotic defense system,signaling and cellular processes,,,
b1564,Transcription factors; Prokaryotic defense system,genetic information processing; signaling and cellular processes,,,
b1569,Transcription factors,genetic information processing,,,
b1570,Transcription factors,genetic information processing,,,
b1574,Messenger RNA biogenesis; Non-coding RNAs,genetic information processing; RNA family,,,
b1580,,,Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions
b1581,,,Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions
b1582,Transporters,signaling and cellular processes,,,
b1584,,,Metabolism,Amino acid metabolism,Arginine and proline metabolism
b1587,Transporters,signaling and cellular processes,Metabolism,Metabolism of other amino acids,Selenocompound metabolism
b1588,Transporters,signaling and cellular processes,Metabolism,Metabolism of other amino acids,Selenocompound metabolism
b1589,Transporters,signaling and cellular processes,,,
b1590,Transporters,signaling and cellular processes,,,
b1591,Chaperones and folding catalysts,genetic information processing,,,
b1592,Transporters,signaling and cellular processes,,,
b1593,,,Metabolism,Metabolism of cofactors and vitamins,Biotin metabolism
b1594,Transcription factors,genetic information processing,,,
b1596,Transporters,signaling and cellular processes,,,
b1598,Peptidases and inhibitors,metabolism,,,
b1599,Transporters,signaling and cellular processes,,,
b1600,Transporters,signaling and cellular processes,,,
b1602,,,Metabolism,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism
b1603,,,Metabolism,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism
b1605,Transporters,signaling and cellular processes,,,
b1606,,,Metabolism,Metabolism of cofactors and vitamins,Folate biosynthesis; One carbon pool by folate
b1608,Two-component system,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b1609,Protein kinases; Two-component system,metabolism; signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b1610,DNA replication proteins,genetic information processing,,,
b1611,,,Metabolism,Carbohydrate metabolism; Energy metabolism,Citrate cycle (TCA cycle); Pyruvate metabolism; Other carbon fixation pathways
b1612,,,Metabolism,Carbohydrate metabolism; Energy metabolism,Citrate cycle (TCA cycle); Pyruvate metabolism; Other carbon fixation pathways
b1613,,,Metabolism,Carbohydrate metabolism; Glycan biosynthesis and metabolism,Fructose and mannose metabolism; Amino sugar and nucleotide sugar metabolism
b1615,Transporters,signaling and cellular processes,,,
b1616,Transporters,signaling and cellular processes,,,
b1617,,,Metabolism; Cellular Processes,Carbohydrate metabolism; Metabolism of cofactors and vitamins; Transport and catabolism,Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Porphyrin metabolism; Lysosome biogenesis
b1618,Transcription factors,genetic information processing,,,
b1619,,,Metabolism,Lipid metabolism,Secondary bile acid biosynthesis
b1620,Transcription factors,genetic information processing,,,
b1621,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Carbohydrate metabolism; Glycan biosynthesis and metabolism; Membrane transport,Glycolysis / Gluconeogenesis; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism; Phosphotransferase system (PTS)
b1622,Amino acid related enzymes,metabolism,Metabolism,Amino acid metabolism; Metabolism of other amino acids,Cysteine and methionine metabolism; Selenocompound metabolism
b1623,,,Metabolism,Nucleotide metabolism,Purine metabolism
b1633,DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,Base excision repair
b1635,Transporters,signaling and cellular processes,Metabolism,Metabolism of other amino acids,Glutathione metabolism
b1636,,,Metabolism,Metabolism of cofactors and vitamins,Vitamin B6 metabolism
b1637,Amino acid related enzymes; Transfer RNA biogenesis; Mitochondrial biogenesis,metabolism; genetic information processing,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b1638,,,Metabolism,Metabolism of cofactors and vitamins,Vitamin B6 metabolism
b1640,,,Metabolism,Glycan biosynthesis and metabolism,Amino sugar and nucleotide sugar metabolism
b1642,Transcription factors,genetic information processing,,,
b1646,,,Cellular Processes,Transport and catabolism,Peroxisome
b1649,Transcription factors,genetic information processing,,,
b1650,,,Metabolism,Xenobiotics biodegradation and metabolism,Nitrotoluene degradation
b1651,,,Metabolism,Carbohydrate metabolism,Pyruvate metabolism
b1652,Transfer RNA biogenesis,genetic information processing,,,
b1653,DNA repair and recombination proteins,genetic information processing,,,
b1654,Chaperones and folding catalysts; Mitochondrial biogenesis,genetic information processing,,,
b1655,Peptidases and inhibitors; Peptidoglycan biosynthesis and degradation proteins,metabolism,,,
b1656,,,Cellular Processes,Transport and catabolism,Peroxisome
b1657,Transporters,signaling and cellular processes,,,
b1658,Transcription factors,genetic information processing,,,
b1660,Transporters,signaling and cellular processes,,,
b1662,,,Metabolism,Metabolism of cofactors and vitamins,Riboflavin metabolism
b1663,Transporters,signaling and cellular processes,,,
b1665,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b1666,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b1670,Transporters,signaling and cellular processes,Metabolism,Energy metabolism,Sulfur metabolism
b1675,,,Metabolism,Carbohydrate metabolism; Energy metabolism,Citrate cycle (TCA cycle); Pyruvate metabolism; Other carbon fixation pathways
b1676,Membrane trafficking; Exosome,genetic information processing; signaling and cellular processes,Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis; Pyruvate metabolism
b1677,Peptidoglycan biosynthesis and degradation proteins,metabolism,,,
b1678,Peptidases and inhibitors; Peptidoglycan biosynthesis and degradation proteins,metabolism,Human Diseases,Drug resistance: antimicrobial,Cationic antimicrobial peptide (CAMP) resistance
b1680,,,Metabolism,Metabolism of other amino acids,Selenocompound metabolism
b1682,Transporters,signaling and cellular processes,,,
b1686,,,Metabolism,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis
b1687,,,Metabolism,Amino acid metabolism,Lysine degradation
b1690,Transporters,signaling and cellular processes,,,
b1691,Transporters,signaling and cellular processes,,,
b1692,,,Metabolism,Amino acid metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis"
